author,title,controlno,call_no
이준형,시스템의 이해 : 이론과 응용,000001049543,003 000
"Djaferis, Theodore Euclid","System theory : modeling, analysis, and control",000001577834,003 000a
"Rasch, William",Observing complexity : systems theory and postmodernity,000001252027,003 000b
이준형,시스템의 이해 : 이론과 응용,000000704062,003 000가
한국과학기술원 한국 . 프로그램분석시스템연구단 . 과학기술부,스마트코드 생성을 위한 프로그램 분석 시스템 연구 ,000000654852,003 000갸
"Weinberg, Gerald M",An introduction to general systems thinking / Gerald M. Weinberg,000001256867,003 001a
"Whitten, Jeffrey L.",Systems analysis and design methods,000001704225,003 001a
"Holt, Robert W",Scientific information systems,000001294798,003 001b
"Dennis, Alan",Systems analysis and design : an object-oriented approach with UML,000001252443,003 002a
"Hemaspaandra, Lane A",The complexity theory companion,000001264656,003 002b
"Dorogovt︠s︡ev, S. N. (Sergeĭ N.)",Evolution of networks : from biological nets to the Internet and WWW,000001265060,003 003a
"Strevens, Michael",Bigger than chaos : understanding complexity through probability,000001301623,003 003b
"Midgley, Gerald","Systems thinking . v. 3, Second order cybernetics, systemic therapy and soft systems thinking",000001303184,003 003c
"Schröder, Jochen","Modelling, state observation, and diagnosis of quantised systems",000001283094,003 003d
"Barabási, Albert-Laszló","Linked : how everything is connected to everything else and what it means for business, science, and everyday life",000001645814,003 003e
장본유기 藏本由紀,"Chemical oscillations, waves, and turbulence",000001743052,003 003f 
"Bunge, Mario",Emergence and convergence : qualitative novelty and the unity of knowledge,000002037982,003 003g
서울대학교 한국. 전기 컴퓨터공학부. 하드웨어-소프트웨어통합설계연구실. 과학기술부,하드웨어-소프트웨어 통합 설계 방법론에 의한 내장형 시스템의 신속한 프로토타이핑 및 구조 최적화 연구,000000001553,003 003가
"Chen, Chi-Tsong",Signals and systems,000001303935,003 004a
"Heyman, Daniel P","Stochastic models in operations research . 1, Stochastic Processes and Operating Characteristics",000001727367,003 004a
"Heyman, Daniel P","Stochastic models in operations research . 2, Stochastic optimization",000001727368,003 004a
"Boccara, Nino",Modeling complex systems,000001332912,003 004b
"Crassidis, John L",Optimal estimation of dynamic systems,000001313827,003 004c
정철환,SI 프로젝트 전문가로 가는 길,000000097411,003 004가
"Newman, Mark E. J",The structure and dynamics of networks,000001307787,003 006a
"Van Hentenryck, Pascal",Online stochastic combinatorial optimization,000001331600,003 006b
"Gleick, James",카오스 : 현대 과학의 대혁명,000001171530,003 006가
서울대학교 한국. 전기 컴퓨터공학부. 하드웨어-소프트웨어통합설계연구실. 과학기술부,하드웨어-소프트웨어 통합 설계 방법론에 의한 내장형 시스템의 신속한 프로토타이핑 및 구조 최적화 연구,000000146142,003 006갸
"Frieden, B. Roy",Exploratory data analysis using fisher information,000001308105,003 007a
나종근,(상위 1%를 만드는) 비트 프로젝트. 112호,000001155043,003 007가
박배식 朴培植,(쉽게 풀어쓴) 카오스,000000158743,003 007가
